"","year","minwage","new pay gap","new disp inc gap ft","new disp inc gap","new abs poverty rate","relative poverty line","new relative poverty rate","new in-work poverty rate","new social tax","social tax change","new income tax","income tax change","total tax change","new subsistence benefits","subsistence benefit change","new all benefits","total benefits change","other benefits change"
"100",2019,640,21.1523920037939,10.1905761273254,15.0497563927597,0.48,575.512,17.39,6.76,345748130.3877,0.649230312528559,145126763.7313,0.817381431482019,0.698885623170568,3334273.8882,-0.960700661821647,253085177.5031,-0.0127780553365966,-1.54193642742939e-07
"101",2019,641,21.1492288505984,10.1879485961179,15.0489256654606,0.48,575.512,17.39,6.76,345779055.5796,0.65823281026735,145143666.8045,0.829123742371863,0.708697192380086,3334118.2962,-0.965322274556328,253085021.9111,-0.0128395255972862,-1.54193642742939e-07
"102",2019,642,21.1498231777875,10.1852539710313,15.0480568183167,0.48,575.512,17.39,6.76,345810220.9929,0.667305237810169,145160652.1651,0.840923217081652,0.718574921576916,3333960.9754,-0.969995238543632,253084864.5903,-0.0129016788608709,-1.54193642742939e-07
"103",2019,643,21.14518900752,10.1825454755583,15.0471804925644,0.48,575.512,17.39,6.76,345841461.3896,0.676399493443583,145177950.786,0.852940309013391,0.728532295726865,3333803.6546,-0.974668202530921,253084707.2695,-0.0129638321244556,-1.54193642742939e-07
"104",2019,644,21.126285423588,10.179799391309,15.0462821153108,0.48,575.512,17.39,6.76,345873193.1477,0.685636787151125,145195164.3636,0.864898322642844,0.7385730226422,3333646.3338,-0.979341166518196,253084549.9487,-0.0130259853880119,-1.54193628532084e-07
"105",2019,645,21.1166008181564,10.1777212013945,15.0458593820524,0.48,575.512,17.37,6.75,345904767.8418,0.694828358642667,145212397.832,0.876870154112098,0.748585609620974,3333490.7418,-0.983962779252877,253084394.3567,-0.0130874556487015,-1.54193642742939e-07
"106",2019,646,21.1090706980813,10.1740582580715,15.0443244199661,0.48,575.512,17.37,6.75,345936439.7413,0.704048227174226,145229784.9349,0.888948713159294,0.758649654310673,3333333.421,-0.988635743240167,253084237.0359,-0.0131496089123004,-1.54193642742939e-07
"107",2019,647,21.0921969647194,10.1712666333886,15.0434045104784,0.48,575.544,17.35,6.73,345968189.1352,0.713290654762588,145247192.6965,0.901041623494891,0.768733834289236,3333176.1002,-0.99330870722747,253084079.7151,-0.0132117621758852,-1.54193642742939e-07
"108",2019,648,21.0821396886534,10.1684174883818,15.0424477632195,0.48,575.916,17.37,6.73,346000100.7578,0.722580308040293,145264829.9631,0.913293967504387,0.778898375165298,3333020.5082,-0.997930319962151,253083924.1231,-0.0132732324365605,-1.54193628532084e-07
"109",2019,649,21.0723500279296,10.1655325833042,15.0414722054018,0.48,575.94,17.37,6.73,346032183.9606,0.7319199092817,145282464.6899,0.925544547153009,0.789097593267897,3332863.1874,-1.00260328394944,253083766.8023,-0.0133353857001453,-1.54193642742939e-07
"110",2019,650,21.0464704449385,10.1626442972019,15.040498344044,0.48,576.044,17.37,6.73,346064192.0272,0.741237637951613,145300152.0553,0.93783169404584,0.799292196175728,3332705.8666,-1.00727624793673,253083609.4815,-0.01339753896373,-1.54193642742939e-07
"111",2019,651,21.0420601103827,10.1598173051787,15.0395719050656,0.48,576.044,17.37,6.73,346097058.9831,0.750805394139732,145317862.8202,0.95013509621964,0.809667793263586,3332548.5458,-1.01194921192402,253083452.1607,-0.0134596922273147,-1.54193642742939e-07
"112",2019,652,21.0387392546437,10.1565310981511,15.0383255859346,0.48,576.044,17.37,6.73,346129510.2491,0.760252140654032,145335684.942,0.96251585635811,0.819980958977723,3332392.9538,-1.0165708246587,253083296.5687,-0.0135211624880043,-1.54193642742939e-07
"113",2019,653,21.0372739794858,10.1536264481971,15.0373513700824,0.48,576.204,17.37,6.73,346162042.4227,0.769722439826907,145353743.6418,0.975060963677265,0.830359254211629,3332235.633,-1.02124378864599,253083139.2479,-0.0135833157515748,-1.54193628532084e-07
"114",2019,654,21.0314073689237,10.1510731021999,15.0369954348566,0.48,576.42,17.37,6.73,346194957.6355,0.779304243870726,145371786.8854,0.98759533380661,0.8408129560286,3332078.3122,-1.02591675263328,253082981.9271,-0.0136454690151595,-1.54193642742939e-07
"115",2019,655,21.0366894654944,10.1480541978458,15.0359579857981,0.48,576.6384,17.39,6.74,346228062.546,0.788941269984676,145390011.7044,1.00025584163717,0.851342821421838,3331922.7202,-1.03053836536797,253082826.3351,-0.0137069392758491,-1.54193642742939e-07
"116",2019,656,21.0319887282143,10.145014110323,15.0349080363925,0.48,576.8568,17.4,6.75,346260324.2161,0.798332824063422,145408284.4567,1.01294964801077,0.861709536204458,3331765.3994,-1.03521132935525,253082669.0143,-0.0137690925394338,-1.54193642742939e-07
"117",2019,657,21.0269866107036,10.1419716714694,15.033859467739,0.48,577.0752,17.4,6.75,346294093.6105,0.808163285187433,145426689.9731,1.02573568360913,0.872412783483966,3331608.0786,-1.03988429334254,253082511.6935,-0.0138312458030043,-1.54193628532084e-07
"118",2019,658,21.0263472805624,10.13890622329,15.0327948049511,0.48,577.2912,17.47,6.78,346327407.3483,0.817861102105923,145445090.0719,1.03851795568218,0.883021445241383,3331450.7578,-1.04455725732984,253082354.3727,-0.013893399066589,-1.54193642742939e-07
"119",2019,659,21.0244806598126,10.1357748333371,15.0316922578329,0.48,577.5096,17.46,6.75,346360986.9203,0.827636304858956,145463651.4108,1.0514122388292,0.893717717725295,3331295.1658,-1.04917887006452,253082198.7807,-0.0139548693272786,-1.54193642742939e-07
"120",2019,660,21.0132608200025,10.1325958728356,15.0305609231174,0.48,577.728,17.47,6.75,346394705.6841,0.837452027129828,145482246.9488,1.06433027957694,0.904449559904492,3331137.845,-1.05385183405181,253082041.4599,-0.0140170225908776,-1.54193642742939e-07
"121",2019,661,21.013252019697,10.1293649295407,15.0293980478129,0.48,577.944,17.47,6.75,346428596.8137,0.847317926056988,145501043.4853,1.07738795096152,0.915257994652151,3330980.5242,-1.05852479803912,253081884.1391,-0.0140791758544481,-1.54193642742939e-07
"122",2019,662,21.0085099785848,10.1285438183457,15.0299356159578,0.48,578.1624,17.48,6.76,346462590.7541,0.857213753787775,145520096.9758,1.09062412442775,0.926140232144448,3330824.9322,-1.06314641077377,253081728.5471,-0.0141406461151377,-1.54193642742939e-07
