,household,scenario,absolute poverty,relative poverty,year,minwage
1,Üksik mees,Tegelik,5.47,32.99,2020,585
2,Üksik mees,Ennustatud,5.47,32.99,2020,585
3,Üksik naine,Tegelik,1.35,21.29,2020,585
4,Üksik naine,Ennustatud,1.35,21.29,2020,585
5,Üksikvanem,Tegelik,0,29.34,2020,585
6,Üksikvanem,Ennustatud,0,29.34,2020,585
7,Lasteta paar,Tegelik,0.26,9.21,2020,585
8,Lasteta paar,Ennustatud,0.26,9.21,2020,585
9,Ühe lapsega paar,Tegelik,0,7.3,2020,585
10,Ühe lapsega paar,Ennustatud,0,7.3,2020,585
11,Kahe lapsega paar,Tegelik,0,9.65,2020,585
12,Kahe lapsega paar,Ennustatud,0,9.65,2020,585
13,Kolme ja enama lapsega paar,Tegelik,0,7.99,2020,585
14,Kolme ja enama lapsega paar,Ennustatud,0,7.99,2020,585
15,Üksik mees,Tegelik,5.47,32.99,2020,586
16,Üksik mees,Ennustatud,5.47,32.99,2020,586
17,Üksik naine,Tegelik,1.35,21.29,2020,586
18,Üksik naine,Ennustatud,1.35,21.29,2020,586
19,Üksikvanem,Tegelik,0,29.34,2020,586
20,Üksikvanem,Ennustatud,0,29.34,2020,586
21,Lasteta paar,Tegelik,0.26,9.21,2020,586
22,Lasteta paar,Ennustatud,0.26,9.21,2020,586
23,Ühe lapsega paar,Tegelik,0,7.3,2020,586
24,Ühe lapsega paar,Ennustatud,0,7.3,2020,586
25,Kahe lapsega paar,Tegelik,0,9.65,2020,586
26,Kahe lapsega paar,Ennustatud,0,9.65,2020,586
27,Kolme ja enama lapsega paar,Tegelik,0,7.99,2020,586
28,Kolme ja enama lapsega paar,Ennustatud,0,7.99,2020,586
29,Üksik mees,Tegelik,5.47,32.99,2020,587
30,Üksik mees,Ennustatud,5.47,32.99,2020,587
31,Üksik naine,Tegelik,1.35,21.29,2020,587
32,Üksik naine,Ennustatud,1.35,21.29,2020,587
33,Üksikvanem,Tegelik,0,29.34,2020,587
34,Üksikvanem,Ennustatud,0,29.34,2020,587
35,Lasteta paar,Tegelik,0.26,9.21,2020,587
36,Lasteta paar,Ennustatud,0.26,9.21,2020,587
37,Ühe lapsega paar,Tegelik,0,7.3,2020,587
38,Ühe lapsega paar,Ennustatud,0,7.3,2020,587
39,Kahe lapsega paar,Tegelik,0,9.65,2020,587
40,Kahe lapsega paar,Ennustatud,0,9.65,2020,587
41,Kolme ja enama lapsega paar,Tegelik,0,7.99,2020,587
42,Kolme ja enama lapsega paar,Ennustatud,0,7.99,2020,587
43,Üksik mees,Tegelik,5.47,32.99,2020,588
44,Üksik mees,Ennustatud,5.47,32.99,2020,588
45,Üksik naine,Tegelik,1.35,21.29,2020,588
46,Üksik naine,Ennustatud,1.35,21.29,2020,588
47,Üksikvanem,Tegelik,0,29.34,2020,588
48,Üksikvanem,Ennustatud,0,29.34,2020,588
49,Lasteta paar,Tegelik,0.26,9.21,2020,588
