,household,scenario,absolute poverty,relative poverty,year,minwage
86,üksik mees,Ennustatud 2020,5.47,32.99,2020,591
87,üksik naine,Tegelik 2020,1.35,21.29,2020,591
88,üksik naine,Ennustatud 2020,1.35,21.29,2020,591
89,üksikvanem,Tegelik 2020,0,29.34,2020,591
90,üksikvanem,Ennustatud 2020,0,29.34,2020,591
91,Lasteta paar,Tegelik 2020,0.26,9.21,2020,591
92,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,591
93,ühe lapsega paar,Tegelik 2020,0,7.3,2020,591
94,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,591
95,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,591
96,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,591
97,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,591
98,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,591
99,üksik mees,Tegelik 2020,5.47,32.99,2020,592
100,üksik mees,Ennustatud 2020,5.47,32.99,2020,592
101,üksik naine,Tegelik 2020,1.35,21.29,2020,592
102,üksik naine,Ennustatud 2020,1.35,21.29,2020,592
103,üksikvanem,Tegelik 2020,0,29.34,2020,592
104,üksikvanem,Ennustatud 2020,0,29.34,2020,592
105,Lasteta paar,Tegelik 2020,0.26,9.21,2020,592
106,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,592
107,ühe lapsega paar,Tegelik 2020,0,7.3,2020,592
108,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,592
109,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,592
110,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,592
111,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,592
112,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,592
113,üksik mees,Tegelik 2020,5.47,32.99,2020,593
114,üksik mees,Ennustatud 2020,5.47,32.99,2020,593
115,üksik naine,Tegelik 2020,1.35,21.29,2020,593
116,üksik naine,Ennustatud 2020,1.35,21.29,2020,593
117,üksikvanem,Tegelik 2020,0,29.34,2020,593
118,üksikvanem,Ennustatud 2020,0,29.34,2020,593
119,Lasteta paar,Tegelik 2020,0.26,9.21,2020,593
120,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,593
121,ühe lapsega paar,Tegelik 2020,0,7.3,2020,593
122,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,593
123,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,593
124,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,593
125,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,593
126,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,593
127,üksik mees,Tegelik 2020,5.47,32.99,2020,594
128,üksik mees,Ennustatud 2020,5.47,32.99,2020,594
129,üksik naine,Tegelik 2020,1.35,21.29,2020,594
130,üksik naine,Ennustatud 2020,1.35,21.29,2020,594
131,üksikvanem,Tegelik 2020,0,29.34,2020,594
132,üksikvanem,Ennustatud 2020,0,29.62,2020,594
133,Lasteta paar,Tegelik 2020,0.26,9.21,2020,594
134,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,594
135,ühe lapsega paar,Tegelik 2020,0,7.3,2020,594
136,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,594
137,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,594
138,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,594
139,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,594
140,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,594
141,üksik mees,Tegelik 2020,5.47,32.99,2020,595
142,üksik mees,Ennustatud 2020,5.47,32.99,2020,595
143,üksik naine,Tegelik 2020,1.35,21.29,2020,595
144,üksik naine,Ennustatud 2020,1.35,21.29,2020,595
145,üksikvanem,Tegelik 2020,0,29.34,2020,595
146,üksikvanem,Ennustatud 2020,0,29.62,2020,595
147,Lasteta paar,Tegelik 2020,0.26,9.21,2020,595
148,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,595
149,ühe lapsega paar,Tegelik 2020,0,7.3,2020,595
150,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,595
151,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,595
152,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,595
153,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,595
154,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,595
155,üksik mees,Tegelik 2020,5.47,32.99,2020,596
156,üksik mees,Ennustatud 2020,5.47,32.99,2020,596
157,üksik naine,Tegelik 2020,1.35,21.29,2020,596
158,üksik naine,Ennustatud 2020,1.35,21.29,2020,596
159,üksikvanem,Tegelik 2020,0,29.34,2020,596
160,üksikvanem,Ennustatud 2020,0,28.63,2020,596
161,Lasteta paar,Tegelik 2020,0.26,9.21,2020,596
162,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,596
163,ühe lapsega paar,Tegelik 2020,0,7.3,2020,596
164,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,596
165,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,596
166,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,596
167,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,596
168,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,596
169,üksik mees,Tegelik 2020,5.47,32.99,2020,597
170,üksik mees,Ennustatud 2020,5.47,32.99,2020,597
171,üksik naine,Tegelik 2020,1.35,21.29,2020,597
172,üksik naine,Ennustatud 2020,1.35,21.29,2020,597
173,üksikvanem,Tegelik 2020,0,29.34,2020,597
174,üksikvanem,Ennustatud 2020,0,28.76,2020,597
175,Lasteta paar,Tegelik 2020,0.26,9.21,2020,597
176,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,597
177,ühe lapsega paar,Tegelik 2020,0,7.3,2020,597
178,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,597
179,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,597
180,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,597
181,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,597
182,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,597
183,üksik mees,Tegelik 2020,5.47,32.99,2020,598
184,üksik mees,Ennustatud 2020,5.47,32.99,2020,598
185,üksik naine,Tegelik 2020,1.35,21.29,2020,598
186,üksik naine,Ennustatud 2020,1.35,21.29,2020,598
187,üksikvanem,Tegelik 2020,0,29.34,2020,598
188,üksikvanem,Ennustatud 2020,0,28.76,2020,598
189,Lasteta paar,Tegelik 2020,0.26,9.21,2020,598
190,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,598
191,ühe lapsega paar,Tegelik 2020,0,7.3,2020,598
192,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,598
193,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,598
194,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,598
195,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,598
196,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,598
197,üksik mees,Tegelik 2020,5.47,32.99,2020,599
198,üksik mees,Ennustatud 2020,5.47,32.99,2020,599
199,üksik naine,Tegelik 2020,1.35,21.29,2020,599
200,üksik naine,Ennustatud 2020,1.35,21.29,2020,599
201,üksikvanem,Tegelik 2020,0,29.34,2020,599
202,üksikvanem,Ennustatud 2020,0,28.38,2020,599
203,Lasteta paar,Tegelik 2020,0.26,9.21,2020,599
204,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,599
205,ühe lapsega paar,Tegelik 2020,0,7.3,2020,599
206,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,599
207,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,599
208,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,599
209,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,599
210,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,599
211,üksik mees,Tegelik 2020,5.47,32.99,2020,600
212,üksik mees,Ennustatud 2020,5.47,32.99,2020,600
213,üksik naine,Tegelik 2020,1.35,21.29,2020,600
214,üksik naine,Ennustatud 2020,1.35,21.29,2020,600
215,üksikvanem,Tegelik 2020,0,29.34,2020,600
216,üksikvanem,Ennustatud 2020,0,28.38,2020,600
217,Lasteta paar,Tegelik 2020,0.26,9.21,2020,600
218,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,600
219,ühe lapsega paar,Tegelik 2020,0,7.3,2020,600
220,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,600
221,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,600
222,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,600
223,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,600
224,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,600
225,üksik mees,Tegelik 2020,5.47,32.99,2020,601
226,üksik mees,Ennustatud 2020,5.47,32.99,2020,601
227,üksik naine,Tegelik 2020,1.35,21.29,2020,601
228,üksik naine,Ennustatud 2020,1.35,21.29,2020,601
229,üksikvanem,Tegelik 2020,0,29.34,2020,601
230,üksikvanem,Ennustatud 2020,0,28.38,2020,601
231,Lasteta paar,Tegelik 2020,0.26,9.21,2020,601
232,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,601
233,ühe lapsega paar,Tegelik 2020,0,7.3,2020,601
234,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,601
235,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,601
236,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,601
237,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,601
238,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,601
239,üksik mees,Tegelik 2020,5.47,32.99,2020,602
240,üksik mees,Ennustatud 2020,5.47,32.99,2020,602
241,üksik naine,Tegelik 2020,1.35,21.29,2020,602
242,üksik naine,Ennustatud 2020,1.35,21.29,2020,602
243,üksikvanem,Tegelik 2020,0,29.34,2020,602
244,üksikvanem,Ennustatud 2020,0,28.38,2020,602
245,Lasteta paar,Tegelik 2020,0.26,9.21,2020,602
246,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,602
247,ühe lapsega paar,Tegelik 2020,0,7.3,2020,602
248,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,602
249,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,602
250,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,602
251,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,602
252,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,602
253,üksik mees,Tegelik 2020,5.47,32.99,2020,603
254,üksik mees,Ennustatud 2020,5.47,32.99,2020,603
255,üksik naine,Tegelik 2020,1.35,21.29,2020,603
256,üksik naine,Ennustatud 2020,1.35,21.29,2020,603
257,üksikvanem,Tegelik 2020,0,29.34,2020,603
258,üksikvanem,Ennustatud 2020,0,28.38,2020,603
259,Lasteta paar,Tegelik 2020,0.26,9.21,2020,603
260,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,603
261,ühe lapsega paar,Tegelik 2020,0,7.3,2020,603
262,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,603
263,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,603
264,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,603
265,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,603
266,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,603
267,üksik mees,Tegelik 2020,5.47,32.99,2020,604
268,üksik mees,Ennustatud 2020,5.47,32.99,2020,604
269,üksik naine,Tegelik 2020,1.35,21.29,2020,604
270,üksik naine,Ennustatud 2020,1.35,21.29,2020,604
271,üksikvanem,Tegelik 2020,0,29.34,2020,604
272,üksikvanem,Ennustatud 2020,0,28.38,2020,604
273,Lasteta paar,Tegelik 2020,0.26,9.21,2020,604
274,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,604
275,ühe lapsega paar,Tegelik 2020,0,7.3,2020,604
276,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,604
277,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,604
278,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,604
279,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,604
280,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,604
281,üksik mees,Tegelik 2020,5.47,32.99,2020,605
282,üksik mees,Ennustatud 2020,5.47,32.99,2020,605
283,üksik naine,Tegelik 2020,1.35,21.29,2020,605
284,üksik naine,Ennustatud 2020,1.35,21.29,2020,605
285,üksikvanem,Tegelik 2020,0,29.34,2020,605
286,üksikvanem,Ennustatud 2020,0,28.38,2020,605
287,Lasteta paar,Tegelik 2020,0.26,9.21,2020,605
288,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,605
289,ühe lapsega paar,Tegelik 2020,0,7.3,2020,605
290,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,605
291,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,605
292,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,605
293,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,605
294,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,605
295,üksik mees,Tegelik 2020,5.47,32.99,2020,606
296,üksik mees,Ennustatud 2020,5.47,32.99,2020,606
297,üksik naine,Tegelik 2020,1.35,21.29,2020,606
298,üksik naine,Ennustatud 2020,1.35,21.29,2020,606
299,üksikvanem,Tegelik 2020,0,29.34,2020,606
300,üksikvanem,Ennustatud 2020,0,28.38,2020,606
301,Lasteta paar,Tegelik 2020,0.26,9.21,2020,606
302,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,606
303,ühe lapsega paar,Tegelik 2020,0,7.3,2020,606
304,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,606
305,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,606
306,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,606
307,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,606
308,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,606
309,üksik mees,Tegelik 2020,5.47,32.99,2020,607
310,üksik mees,Ennustatud 2020,5.47,32.99,2020,607
311,üksik naine,Tegelik 2020,1.35,21.29,2020,607
312,üksik naine,Ennustatud 2020,1.35,21.29,2020,607
313,üksikvanem,Tegelik 2020,0,29.34,2020,607
314,üksikvanem,Ennustatud 2020,0,28.38,2020,607
315,Lasteta paar,Tegelik 2020,0.26,9.21,2020,607
316,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,607
317,ühe lapsega paar,Tegelik 2020,0,7.3,2020,607
318,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,607
319,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,607
320,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,607
321,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,607
322,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,607
323,üksik mees,Tegelik 2020,5.47,32.99,2020,608
324,üksik mees,Ennustatud 2020,5.47,32.99,2020,608
325,üksik naine,Tegelik 2020,1.35,21.29,2020,608
326,üksik naine,Ennustatud 2020,1.35,21.29,2020,608
327,üksikvanem,Tegelik 2020,0,29.34,2020,608
328,üksikvanem,Ennustatud 2020,0,28.38,2020,608
329,Lasteta paar,Tegelik 2020,0.26,9.21,2020,608
330,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,608
331,ühe lapsega paar,Tegelik 2020,0,7.3,2020,608
332,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,608
333,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,608
334,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,608
